ID,Start time,Completion time,Email,Name,Last modified time,"I consent to take part in this research having read the above information and confirm that I am a UK resident and over 18 years old.
",How old are you?,What is your gender?,What is the highest level of education you have completed?,What best describes your primary academic or professional background?,"How often do you use a general-purpose LLMs such as ChatGPT, Claude or Gemini?",How long have you been using LLMs regularly?,How long do you typically spend in a single session with an LLM?,Which of the following general-purpose LLMs you have used in the past 3 months? Select all that apply.,Which of the following best describes how you most commonly use LLMs? Select all that apply.,"How often do you use LLMs for personal or emotionally significant conversations, as opposed to practical tasks?","When interacting with an LLM, how often do you use polite language such as ""please"" or ""thank you""?",What best describes your reason for using polite language? Select all that apply.,How does an LLM like ChatGPT primarily generate its responses?,True or false: ChatGPT remembers the content of previous conversations by default and uses this to inform future responses.,"True or false: an LLM will always give the same response to the same question.
",True or false: LLMs understand the meaning of language in the same way humans do.,"To what extent does a cheetah experience emotions?
","To what extent does the average robot have consciousness?
","To what extent does the average insect have a mind of its own?
","To what extent does a television set experience emotions?
","To what extent does the average reptile have consciousness?
","To what extent does the average computer have a mind of its own?
",I sometimes look forward to conversations with LLMs.,I have felt that an LLM understood me in a meaningful way.,"When an LLM expresses interest in what I am saying, it feels genuine rather than mechanical.",I sometimes feel that an LLM is engaged with me as an individual rather than simply processing my input.,I have used an LLM for conversation or support when I would otherwise have talked to another person.,I find it easier to discuss certain topics with an LLM than with people I know.,LLMs are capable of having something like subjective experience.,"When an LLM produces a response, something is happening internally that resembles a mental state. ","LLMs can have states that function like emotions, even if these differ from human emotions",It is possible that current LLMs have some form of inner life.,"LLMs genuinely understand the meaning of what they say, rather than processing statistical patterns","When an LLM expresses curiosity or enthusiasm, this reflects something real about its internal state.","LLMs have something that functions like preferences, even if these are not consciously chosen.",An LLM can have intentions about the outcome of a conversation.
46,5/18/26 19:29:11,5/18/26 19:49:19,anonymous,,,I Agree,45-54,Female,Certificate/Diploma/NVQ,,Monthly,3-6 months,5-15 minutes,Copilot;,Information search;Learning or study;,Never,Rarely,I think it may affect the quality of responses;,By retrieving relevant information from a continuously updated database,TRUE,Don't know,TRUE,5,3,3,1,5,1,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
47,5/18/26 19:42:14,5/18/26 19:49:46,anonymous,,,I Agree,55-64,Male,A-level/Higher grade,,More than once a day,1-2 years,5-15 minutes,ChatGPT;Claude;Copilot;,General conversation;Writing assistance;Learning or study;Information search;Idea generation;,Never,Always,It feels uncomfortable not to;It is a habit from human conversation;I think it may affect the quality of responses;,By retrieving relevant information from a continuously updated database,Don't know,FALSE,FALSE,10,1,7,1,10,1,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree
48,5/18/26 19:44:32,5/18/26 19:51:32,anonymous,,,I Agree,35-44,Female,Degree,Business,Daily,1-2 years,5-15 minutes,ChatGPT;Grok;Claude;,Idea generation;Writing assistance;Reword function;,Never,Sometimes,It feels uncomfortable not to;It is a habit from human conversation;,By searching and summarising content from the internet ,TRUE,FALSE,FALSE,10,1,10,1,10,1,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
49,5/18/26 19:42:55,5/18/26 19:51:42,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,Monthly,3-6 months,15-30 minutes,ChatGPT;,Writing assistance;Learning or study;,Never,Sometimes,I am uncertain/believe that it matters to the LLM ;,By retrieving relevant information from a continuously updated database,Don't know,Don't know,Don't know,3,6,2,1,7,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
50,5/18/26 19:54:02,5/18/26 20:02:26,anonymous,,,I Agree,55-64,Female,Degree,Business,Daily,More than 2 years,30-60 minutes,ChatGPT;,Personal or emotional discussion;Learning or study;Writing assistance;Idea generation;Information search;,Often,Rarely,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,2,1,1,1,10,1,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
51,5/18/26 19:51:49,5/18/26 20:07:54,anonymous,,,I Agree,55-64,Male,Degree,Business,Multiple times a week,1-2 years,2-3 hours,ChatGPT;Copilot;Claude;Gemini;Ecosia;,Writing assistance;Information search;SOP (standard operational processes);,Sometimes,Often,I think it may affect the quality of responses;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,7,1,8,1,10,1,Disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Agree
52,5/18/26 20:04:59,5/18/26 20:13:05,anonymous,,,I Agree,65+,Female,Postgraduate,STEM,Daily,3-6 months,15-30 minutes,Claude;Deepseek;ChatGPT;,Information search;Writing assistance;Creative projects;,Sometimes,Sometimes,It is a habit from human conversation;,By searching and summarising content from the internet ,TRUE,FALSE,FALSE,10,1,2,1,4,1,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Disagree,Neither agree nor disagree
53,5/18/26 20:14:19,5/18/26 20:20:36,anonymous,,,I Agree,45-54,Female,Doctoral,STEM,Weekly,6-12 months,30-60 minutes,ChatGPT;Gemini;,Writing assistance;Learning or study;Information search;Creative projects;,Never,Always,It is a habit from human conversation;,By searching and summarising content from the internet ,TRUE,Don't know,FALSE,8,3,8,1,8,1,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Agree,Agree
54,5/18/26 20:05:17,5/18/26 20:22:20,anonymous,,,I Agree,45-54,Male,Certificate/Diploma/NVQ,,More than once a day,More than 2 years,15-30 minutes,ChatGPT;Claude;Gemini;Copilot;,Idea generation;Creative projects;Information search;Writing assistance;Learning or study;,Rarely,Always,It is a habit from human conversation;It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,7,1,6,1,5,3,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
55,5/18/26 20:20:57,5/18/26 20:27:26,anonymous,,,I Agree,65+,Female,Degree,Arts,Multiple times a week,3-6 months,15-30 minutes,Claude;ChatGPT;,Information search;Writing assistance;Creative projects;,Very often,Sometimes,It feels uncomfortable not to;,By retrieving relevant information from a continuously updated database,TRUE,Don't know,FALSE,8,1,5,1,5,1,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
56,5/18/26 20:23:47,5/18/26 20:32:14,anonymous,,,I Agree,55-64,Female,Certificate/Diploma/NVQ,,More than once a day,Less than 3 months,5-15 minutes,ChatGPT;Claude;,General conversation;Personal or emotional discussion;Learning or study;Information search;,Rarely,Always,It feels uncomfortable not to;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,9,2,7,1,1,2,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree
57,5/18/26 20:05:43,5/18/26 20:33:35,anonymous,,,I Agree,35-44,Female,Degree,Business,Daily,6-12 months,4+ hours,ChatGPT;,General conversation;Learning or study;Information search;Writing assistance;,Never,Often,It is a habit from human conversation;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,9,5,7,1,8,2,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
58,5/18/26 20:41:53,5/18/26 20:46:14,anonymous,,,I Agree,55-64,Male,Degree,Humanities,Multiple times a week,3-6 months,5-15 minutes,ChatGPT;Claude;Copilot;,Information search;Writing assistance;,Rarely,Always,It is a habit from human conversation;,By retrieving relevant information from a continuously updated database,Don't know,FALSE,FALSE,4,4,8,1,8,1,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
59,5/18/26 20:47:30,5/18/26 20:52:36,anonymous,,,I Agree,18-24,Male,Degree,Social sciences,Weekly,Less than 3 months,Under 5 minutes,ChatGPT;,Information search;,Never,Never,,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,5,1,3,1,4,1,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree
60,5/18/26 20:49:57,5/18/26 20:57:40,anonymous,,,I Agree,55-64,Female,Postgraduate,Arts,Weekly,6-12 months,30-60 minutes,ChatGPT;,Information search;Idea generation;Writing assistance;General conversation;,Rarely,Often,It is a habit from human conversation;,By retrieving relevant information from a continuously updated database,TRUE,Don't know,FALSE,8,2,1,1,6,1,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
61,5/18/26 20:46:32,5/18/26 20:57:41,anonymous,,,I Agree,55-64,Male,Doctoral,STEM,Multiple times a week,1-2 years,Under 5 minutes,ChatGPT;Copilot;Gemini;,Writing assistance;Creative projects;,Never,Always,It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,2,1,3,1,2,1,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree
62,5/18/26 20:53:35,5/18/26 21:02:12,anonymous,,,I Agree,45-54,Female,Postgraduate,Humanities,More than once a day,More than 2 years,5-15 minutes,ChatGPT;Copilot;Gemini;,General conversation;Information search;Idea generation;Personal or emotional discussion;Learning or study;,Often,Often,It is a habit from human conversation;,By searching and summarising content from the internet ,FALSE,FALSE,FALSE,8,1,9,1,1,1,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree
63,5/18/26 21:00:05,5/18/26 21:05:09,anonymous,,,I Agree,65+,Female,Degree,Business,More than once a day,3-6 months,5-15 minutes,Gemini;ChatGPT;Claude;,Writing assistance;General conversation;Personal or emotional discussion;Creative projects;Idea generation;Information search;Learning or study;,Very often,Always,I think it may affect the quality of responses;,By retrieving relevant information from a continuously updated database,TRUE,Don't know,Don't know,10,5,10,1,10,1,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
64,5/18/26 21:00:03,5/18/26 21:06:06,anonymous,,,I Agree,55-64,Female,Degree,Business,Multiple times a week,6-12 months,1-2 hours,ChatGPT;Claude;,General conversation;Learning or study;Writing assistance;Information search;,Sometimes,Always,It is a habit from human conversation;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,6,2,4,1,5,2,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
65,5/18/26 20:57:04,5/18/26 21:12:31,anonymous,,,I Agree,55-64,Male,Degree,Business,Multiple times a week,3-6 months,Under 5 minutes,"The nameless Google AI (seriously, ask it what it s called);",Information search;,Never,Often,I am uncertain/believe that it matters to the LLM ;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,5,1,1,1,2,1,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Strongly disagree
66,5/18/26 21:21:18,5/18/26 21:25:12,anonymous,,,I Agree,18-24,Non-binary,GCSE/Standard grade,,Never,,,,,,,,Don't know,Don't know,Don't know,Don't know,7,1,7,1,9,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
68,5/18/26 21:21:46,5/18/26 21:40:16,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,Multiple times a week,1-2 years,5-15 minutes,Deepseek;Copilot;Gemini;,Writing assistance;Creative projects;Idea generation;Information search;Learning or study;,Never,Rarely,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,3,1,3,1,3,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
69,5/18/26 21:34:59,5/18/26 21:43:43,anonymous,,,I Agree,55-64,Male,Degree,STEM,More than once a day,1-2 years,30-60 minutes,Copilot;Claude;Gemini;ChatGPT;,Coding;Idea generation;Plan generarion;,Never,Sometimes,It feels uncomfortable not to;It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,3,2,4,1,4,1,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Disagree
70,5/18/26 22:31:57,5/18/26 22:40:38,anonymous,,,I Agree,35-44,Female,Certificate/Diploma/NVQ,,More than once a day,6-12 months,5-15 minutes,Copilot;ChatGPT;Claude;,Idea generation;Writing assistance;Coding;Personal or emotional discussion;Creative projects;Learning or study;General conversation;,Sometimes,Sometimes,It is a habit from human conversation;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,10,3,10,1,10,1,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Disagree
71,5/19/26 4:42:31,5/19/26 5:05:13,anonymous,,,I Agree,55-64,Male,Certificate/Diploma/NVQ,,Multiple times a week,Less than 3 months,Under 5 minutes,ChatGPT;,Information search;,Never,Rarely,It is a habit from human conversation;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,Don't know,7,1,10,1,10,1,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree
72,5/19/26 6:06:45,5/19/26 6:15:15,anonymous,,,I Agree,65+,Female,Certificate/Diploma/NVQ,,Less than once a month,,30-60 minutes,ChatGPT;,General conversation;Writing assistance;Idea generation;Information search;,Rarely,Often,It is a habit from human conversation;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,Don't know,10,1,3,1,10,1,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
73,5/19/26 6:15:20,5/19/26 6:23:59,anonymous,,,I Agree,55-64,Female,Postgraduate,STEM,Daily,6-12 months,15-30 minutes,Copilot;Claude;,Information search;Learning or study;Writing assistance;Administrative functions ;,Never,Always,It is a habit from human conversation;I think it may affect the quality of responses;It feels uncomfortable not to;,By searching and summarising content from the internet ,TRUE,FALSE,FALSE,1,1,5,1,8,1,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
74,5/19/26 6:47:55,5/19/26 6:53:41,anonymous,,,I Agree,45-54,Female,Degree,Business,Monthly,3-6 months,15-30 minutes,ChatGPT;Claude;,Idea generation;Writing assistance;Information search;,Never,Sometimes,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,7,1,3,1,3,1,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
75,5/19/26 7:13:34,5/19/26 7:23:43,anonymous,,,I Agree,45-54,Female,Postgraduate,Business,Multiple times a week,3-6 months,15-30 minutes,ChatGPT;Claude;Gemini;,Learning or study;Writing assistance;Information search;,Sometimes,Often,It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,10,2,7,1,10,1,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Agree
76,5/19/26 7:29:17,5/19/26 7:42:53,anonymous,,,I Agree,45-54,Female,Postgraduate,Business,Weekly,6-12 months,5-15 minutes,Claude;Grok;Copilot;ChatGPT;,Information search;Idea generation;,Rarely,Often,I am uncertain/believe that it matters to the LLM ;It is a habit from human conversation;It feels uncomfortable not to;,Don't know,Don't know,FALSE,Don't know,10,1,5,1,6,1,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree
77,5/19/26 8:00:27,5/19/26 8:05:41,anonymous,,,I Agree,55-64,Male,Degree,STEM,Less than once a month,,Under 5 minutes,Copilot;,Coding;,Never,Never,,Don't know,Don't know,FALSE,FALSE,3,1,3,1,3,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
78,5/19/26 9:02:15,5/19/26 9:06:44,anonymous,,,I Agree,35-44,Female,Degree,Health Care,Multiple times a week,3-6 months,15-30 minutes,Copilot;Claude;,Writing assistance;Idea generation;,Rarely,Always,I think it may affect the quality of responses;,Don't know,TRUE,FALSE,FALSE,5,6,6,1,5,4,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree
79,5/19/26 9:53:37,5/19/26 9:58:00,anonymous,,,I Agree,55-64,Male,Postgraduate,STEM,More than once a day,3-6 months,5-15 minutes,Gemini;ChatGPT;Copilot;,Information search;Writing assistance;,Never,Never,,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,TRUE,6,1,1,1,3,1,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree
80,5/19/26 10:38:41,5/19/26 10:48:21,anonymous,,,I Agree,55-64,Male,Postgraduate,Business,Never,,,,,,,,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,10,1,10,1,10,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree
81,5/19/26 11:17:28,5/19/26 11:21:50,anonymous,,,I Agree,35-44,Female,Degree,Business,More than once a day,3-6 months,30-60 minutes,ChatGPT;,Personal or emotional discussion;Writing assistance;Idea generation;Learning or study;,Very often,Often,It is a habit from human conversation;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,3,1,10,1,7,1,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
82,5/19/26 11:14:35,5/19/26 11:22:27,anonymous,,,I Agree,45-54,Female,Doctoral,Humanities,Less than once a month,,5-15 minutes,Copilot;,Information search;,Never,Always,It feels uncomfortable not to;,By searching and summarising content from the internet ,TRUE,FALSE,FALSE,8,5,5,1,5,5,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
83,5/19/26 11:49:04,5/19/26 11:52:53,anonymous,,,I Agree,30-34,Male,Degree,Arts,More than once a day,1-2 years,5-15 minutes,ChatGPT;Claude;Gemini;,Information search;Idea generation;Creative projects;Coding;Personal or emotional discussion;,Often,Often,It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,7,1,1,1,1,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Disagree
84,5/19/26 12:02:42,5/19/26 12:09:40,anonymous,,,I Agree,65+,Male,Postgraduate,Business,More than once a day,1-2 years,30-60 minutes,ChatGPT;Claude;Perplexity;,Learning or study;,Sometimes,Often,I think it may affect the quality of responses;,By applying a structured set of logical rules to interpret and respond to input,TRUE,FALSE,FALSE,7,4,3,1,5,1,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,Disagree,Agree,Agree
85,5/19/26 12:35:27,5/19/26 12:39:45,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,Daily,6-12 months,1-2 hours,ChatGPT;Copilot;,Idea generation;Learning or study;,Rarely,Never,,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,9,3,6,1,9,5,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
86,5/19/26 12:45:25,5/19/26 12:49:37,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Multiple times a week,3-6 months,5-15 minutes,ChatGPT;,Creative projects;Learning or study;Writing assistance;,Never,Often,It feels uncomfortable not to;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,7,2,8,1,8,3,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
87,5/19/26 12:45:31,5/19/26 12:49:59,anonymous,,,I Agree,18-24,Prefer not to say,Undergraduate degree ,The liberal arts,Weekly,More than 2 years,15-30 minutes,Claude;ChatGPT;Gemini;,Coding;,Never,Never,,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,7,2,4,1,6,1,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
88,5/19/26 12:46:07,5/19/26 12:50:11,anonymous,,,I Agree,18-24,Female,A-level/Higher grade,,Weekly,More than 2 years,5-15 minutes,Claude;,Idea generation;Learning or study;,Sometimes,Never,,By predicting the most likely word or token based on patterns in training data,TRUE,FALSE,FALSE,8,1,7,1,8,3,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree
89,5/19/26 12:49:50,5/19/26 12:52:07,anonymous,,,I Agree,18-24,Female,Degree,Interdisciplinary,Never,,,,,,,,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,7,1,3,1,6,1,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
90,5/19/26 12:55:42,5/19/26 13:01:38,anonymous,,,I Agree,18-24,Male,GCSE/Standard grade,,Daily,1-2 years,15-30 minutes,Gemini;ChatGPT;Claude;,Idea generation;Learning or study;Information search;,Never,Often,It is a habit from human conversation;It feels uncomfortable not to;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,7,1,3,1,6,2,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Disagree,Agree,Somewhat disagree
91,5/19/26 12:54:15,5/19/26 13:04:13,anonymous,,,I Agree,18-24,Male,A-level/Higher grade,,Daily,1-2 years,15-30 minutes,ChatGPT;Claude;,Idea generation;Information search;Learning or study;Coding;Writing assistance;,Rarely,Often,It is a habit from human conversation;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,Don't know,10,1,5,1,5,2,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
92,5/19/26 13:19:14,5/19/26 13:32:40,anonymous,,,I Agree,18-24,Prefer not to say,GCSE/Standard grade,,Less than once a month,,5-15 minutes,ChatGPT;Gemini;,Writing assistance;Information search;,Never,Sometimes,It is a habit from human conversation;I think it may affect the quality of responses;,By predicting the most likely word or token based on patterns in training data,FALSE,FALSE,FALSE,6,2,8,1,5,1,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Agree,Strongly agree
93,5/19/26 13:26:07,5/19/26 13:44:44,anonymous,,,I Agree,30-34,Male,A-level/Higher grade,,Daily,6-12 months,5-15 minutes,ChatGPT;Copilot;Gemini;Claude;,Writing assistance;Learning or study;Coding;Creative projects;Information search;Idea generation;,Rarely,Rarely,It is a habit from human conversation;,By retrieving relevant information from a continuously updated database,TRUE,FALSE,FALSE,9,4,5,3,8,4,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Somewhat agree
94,5/19/26 14:17:40,5/19/26 14:26:53,anonymous,,,I Agree,18-24,Female,GCSE/Standard grade,,Daily,3-6 months,15-30 minutes,Claude;ChatGPT;Perplexity ;,Creative projects;Personal or emotional discussion;Information search;Learning or study;,Rarely,Often,It feels uncomfortable not to;It is a habit from human conversation;,By searching and summarising content from the internet ,FALSE,FALSE,Don't know,7,5,5,2,6,6,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Somewhat agree
